major_idx,layer_idx,operator_mode,major_step,compute_ops,substep_count,major_cycle_sum,major_cycle_mean,major_cycle_max,major_cycle_min,substeps
176,10,chol_nb,POTRF_DIAG_A_10_10,VECTOR_MAC,10,10.00,1.00,1.00,1.00,POTRF_DIAG_UPD_10_0|POTRF_DIAG_UPD_10_1|POTRF_DIAG_UPD_10_2|POTRF_DIAG_UPD_10_3|POTRF_DIAG_UPD_10_4|POTRF_DIAG_UPD_10_5|POTRF_DIAG_UPD_10_6|POTRF_DIAG_UPD_10_7|POTRF_DIAG_UPD_10_8|POTRF_DIAG_UPD_10_9
177,10,chol_nb,RK_UPDATE_A_10_10,VECTOR_MAC,10,10.00,1.00,1.00,1.00,RK_UPDATE_10_10_0|RK_UPDATE_10_10_1|RK_UPDATE_10_10_2|RK_UPDATE_10_10_3|RK_UPDATE_10_10_4|RK_UPDATE_10_10_5|RK_UPDATE_10_10_6|RK_UPDATE_10_10_7|RK_UPDATE_10_10_8|RK_UPDATE_10_10_9
178,10,chol_nb,RK_UPDATE_A_10_11,VECTOR_MAC,10,10.00,1.00,1.00,1.00,RK_UPDATE_10_11_0|RK_UPDATE_10_11_1|RK_UPDATE_10_11_2|RK_UPDATE_10_11_3|RK_UPDATE_10_11_4|RK_UPDATE_10_11_5|RK_UPDATE_10_11_6|RK_UPDATE_10_11_7|RK_UPDATE_10_11_8|RK_UPDATE_10_11_9
179,10,chol_nb,RK_UPDATE_A_10_12,VECTOR_MAC,10,10.00,1.00,1.00,1.00,RK_UPDATE_10_12_0|RK_UPDATE_10_12_1|RK_UPDATE_10_12_2|RK_UPDATE_10_12_3|RK_UPDATE_10_12_4|RK_UPDATE_10_12_5|RK_UPDATE_10_12_6|RK_UPDATE_10_12_7|RK_UPDATE_10_12_8|RK_UPDATE_10_12_9
180,10,chol_nb,RK_UPDATE_A_10_13,VECTOR_MAC,10,10.00,1.00,1.00,1.00,RK_UPDATE_10_13_0|RK_UPDATE_10_13_1|RK_UPDATE_10_13_2|RK_UPDATE_10_13_3|RK_UPDATE_10_13_4|RK_UPDATE_10_13_5|RK_UPDATE_10_13_6|RK_UPDATE_10_13_7|RK_UPDATE_10_13_8|RK_UPDATE_10_13_9
181,10,chol_nb,RK_UPDATE_A_10_14,VECTOR_MAC,10,10.00,1.00,1.00,1.00,RK_UPDATE_10_14_0|RK_UPDATE_10_14_1|RK_UPDATE_10_14_2|RK_UPDATE_10_14_3|RK_UPDATE_10_14_4|RK_UPDATE_10_14_5|RK_UPDATE_10_14_6|RK_UPDATE_10_14_7|RK_UPDATE_10_14_8|RK_UPDATE_10_14_9
182,10,chol_nb,RK_UPDATE_A_10_15,VECTOR_MAC,10,10.00,1.00,1.00,1.00,RK_UPDATE_10_15_0|RK_UPDATE_10_15_1|RK_UPDATE_10_15_2|RK_UPDATE_10_15_3|RK_UPDATE_10_15_4|RK_UPDATE_10_15_5|RK_UPDATE_10_15_6|RK_UPDATE_10_15_7|RK_UPDATE_10_15_8|RK_UPDATE_10_15_9
183,10,chol_nb,TRSM_10_0,VECTOR_MUL,1,1.00,1.00,1.00,1.00,TRSM_MUL_10_0
184,10,chol_nb,TRSM_10_1,VECTOR_MAC|VECTOR_MUL,2,2.00,1.00,1.00,1.00,TRSM_MUL_10_1|TRSM_NUM_UPD_10_1_0
185,10,chol_nb,TRSM_10_2,VECTOR_MAC|VECTOR_MUL,3,3.00,1.00,1.00,1.00,TRSM_MUL_10_2|TRSM_NUM_UPD_10_2_0|TRSM_NUM_UPD_10_2_1
186,10,chol_nb,TRSM_10_3,VECTOR_MAC|VECTOR_MUL,4,4.00,1.00,1.00,1.00,TRSM_MUL_10_3|TRSM_NUM_UPD_10_3_0|TRSM_NUM_UPD_10_3_1|TRSM_NUM_UPD_10_3_2
187,10,chol_nb,TRSM_10_4,VECTOR_MAC|VECTOR_MUL,5,5.00,1.00,1.00,1.00,TRSM_MUL_10_4|TRSM_NUM_UPD_10_4_0|TRSM_NUM_UPD_10_4_1|TRSM_NUM_UPD_10_4_2|TRSM_NUM_UPD_10_4_3
188,10,chol_nb,TRSM_10_5,VECTOR_MAC|VECTOR_MUL,6,6.00,1.00,1.00,1.00,TRSM_MUL_10_5|TRSM_NUM_UPD_10_5_0|TRSM_NUM_UPD_10_5_1|TRSM_NUM_UPD_10_5_2|TRSM_NUM_UPD_10_5_3|TRSM_NUM_UPD_10_5_4
